"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nbh_size_500_600_700"
"06/06/2021 14:20:27:774 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"18","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.624","0.5356000000000001","61.39726928408935","26.560800400752342","0.10236028000049942","131.99232759443458"
"19","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","49","0.526","0.5704000000000002","59.74165779004805","27.577428411425345","0.07747355144674516","131.5830915543983"
"20","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5860000000000001","0.5459999999999998","57.19125216365776","29.26514130402961","0.09240662603784813","129.92124122924307"
"21","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5959999999999999","0.5327999999999999","57.31499896799215","29.92678576292713","0.09014449279529516","131.15228933853825"
"23","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.612","0.5380000000000003","57.48884175237128","29.590500559850106","0.0925962924791989","130.84617515041577"
"22","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.638","0.5484","61.520678090499636","26.145305262785833","0.09482120688436312","131.70433902897926"
"24","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5900000000000001","0.5432000000000001","60.78123872229339","26.29188108697106","0.08951076000618913","130.9108789387652"
"25","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","56.2","0.572","0.5303999999999998","55.02218282138736","32.86970850002118","0.07682239928151234","132.4319386532586"
"26","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","61","0.592","0.5444","60.78030730514062","27.18720579182203","0.07392143306250319","132.64527431097227"
"27","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.6020000000000001","0.5516000000000001","60.629518098137495","25.97431747409002","0.088527152385862","130.2034321467272"
"28","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5880000000000001","0.5460000000000003","56.47141191650099","29.679845437874523","0.08707838705658588","129.55056728664619"
"29","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","46.6","0.5700000000000001","0.5516000000000001","43.85131535595263","43.621829228238916","0.09371855362396674","131.48374053863174"
"30","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.6199999999999999","0.5316000000000001","60.957546820527504","25.83223652451364","0.09866925001790464","130.2867676385308"
"31","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","41.8","0.598","0.5444","56.34870844920735","30.90915635497083","0.09509793466093158","131.1097318901144"
"32","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5900000000000001","0.5404000000000004","60.58531164929053","25.910842393914916","0.08189616520943305","130.18470186247816"
"33","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5940000000000001","0.54","60.51224682400996","25.77723190820457","0.08424255156759841","129.81586791309263"
"34","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.588","0.5456000000000003","61.141342833232216","26.04919526021878","0.08243458377598217","131.23650482448042"
"35","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.578","0.5408","61.00173957058657","26.755611425590434","0.11126782852416853","131.52194954062793"
"36","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.62","0.5408","61.742788762329724","26.220790173448115","0.10958754839648464","131.85942678207005"
"37","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.602","0.5644","61.45407325014977","26.66670737633804","0.10404122718570648","132.21972878961964"
"38","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.618","0.5564","61.42246274863237","26.27698131163759","0.10347916805694127","131.60073238886122"
"39","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","49","0.52","0.5547999999999997","58.68992126370976","28.655334538395444","0.07287097428913825","131.7046785697729"
"40","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5920000000000001","0.5536000000000003","60.98470609176523","26.310254711212583","0.0987696174734225","131.07834162275364"
"41","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.596","0.5488","56.296597561718286","29.978036586224334","0.11269337665439566","129.2292500502455"
"42","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5860000000000001","0.5460000000000003","57.46339479232277","28.79932913604485","0.06556061236041444","130.15074186390288"
